epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,910.294,1.54704,2.89398,1.59475,0.4423,0.33894,0.3193,0.18888,1.43015,2.33972,1.49467,0.000331019,0.000331019,0.000331019
2,1727.35,1.46695,1.99277,1.5299,0.39726,0.33962,0.3335,0.18922,1.58102,2.39433,1.58942,0.000642428,0.000642428,0.000642428
3,2515.54,1.4797,1.91027,1.53096,0.41113,0.41532,0.37713,0.20114,1.54833,1.90587,1.53917,0.000931838,0.000931838,0.000931838
4,3308.33,1.49884,1.8081,1.53346,0.47752,0.3923,0.38877,0.22559,1.49019,1.87485,1.49463,0.000901,0.000901,0.000901
5,4103.3,1.45453,1.71394,1.51895,0.45146,0.5094,0.44459,0.25619,1.43592,1.63556,1.47546,0.000868,0.000868,0.000868
6,4896.94,1.40826,1.60561,1.47072,0.62852,0.4568,0.50059,0.27805,1.46559,1.55096,1.4998,0.000835,0.000835,0.000835
7,5690.01,1.3987,1.56317,1.46634,0.51696,0.474,0.44889,0.27229,1.37275,1.62253,1.42239,0.000802,0.000802,0.000802
8,6480.37,1.34645,1.45934,1.42639,0.57397,0.49109,0.52004,0.29988,1.41379,1.46301,1.46051,0.000769,0.000769,0.000769
9,7270.39,1.34908,1.38994,1.42441,0.56131,0.55861,0.55591,0.32323,1.41821,1.36765,1.44261,0.000736,0.000736,0.000736
10,8060.53,1.29971,1.3764,1.39743,0.57591,0.50105,0.51464,0.31358,1.43715,1.51843,1.44314,0.000703,0.000703,0.000703
11,8848.65,1.29903,1.29568,1.38652,0.58188,0.55881,0.55996,0.33613,1.3673,1.35967,1.38798,0.00067,0.00067,0.00067
12,9634.44,1.25677,1.23546,1.37159,0.72017,0.52511,0.58572,0.35521,1.34393,1.3112,1.40126,0.000637,0.000637,0.000637
13,10423.2,1.24638,1.20733,1.35234,0.53964,0.59803,0.57652,0.34449,1.3392,1.31063,1.39895,0.000604,0.000604,0.000604
14,11213,1.20668,1.11132,1.32052,0.65065,0.52647,0.57811,0.33526,1.3676,1.29617,1.38896,0.000571,0.000571,0.000571
15,12000.2,1.21797,1.13042,1.3336,0.56196,0.55498,0.60137,0.35724,1.34343,1.25402,1.40315,0.000538,0.000538,0.000538
16,12791.3,1.16503,1.05321,1.29531,0.57231,0.61285,0.61315,0.36189,1.34837,1.22961,1.37074,0.000505,0.000505,0.000505
17,13578.7,1.15646,1.02137,1.28936,0.55466,0.60359,0.59315,0.35899,1.33019,1.23441,1.36756,0.000472,0.000472,0.000472
